n_id,type,src,question,prompt,response,id,target,participant,response_num
9309,instances,setal08,What is a surprising thing that makes a NOISE?,noise,fire,setal08_5.0-a36a6c,1.3,setal08197,3.0
2354,uses,snb17,What is a surprising use for a ROPE?,rope,Tie your dog to a tree or post,snb17_rope-9d84de,1.0,snb17154,
616,uses,hass17,What is a surprising use for a BRICK?,brick,build a house,hass17_brick-d6f6dc,1.0,hass1740, 1
4852,consequences,setal08,What would be a surprising consequence if PEOPLE NEEDED NO SLEEP?,no sleep,more business being done,setal08_3.0-8c0ca5,1.7,setal08102,3.0
177,uses,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,earring,hmsl_paperclip-16d97a,2.7,hmslb52wN2J4,5.0
8046,uses,setal08,What is a surprising use for a BRICK?,brick,use it to weigh something down,setal08_1.0-119e7a,1.3,setal08169,7.0
1383,uses,snbmo09,What is a surprising use for a BRICK?,brick,to jam/mush up objects,snbmo09_1_brick-498fa4,1.5,snbmo0966,3
1405,uses,bs12,What is a surprising use for a BRICK?,brick,Use it as a paper weight.,bs12_brick-a4a2ba,1.0,bs12101,
5476,uses,dod20,What is a surprising use for a SHOE?,shoe,to use as a cup,dod20_shoe-ee05e7,4.3,dod2092,2
10821,consequences,setal08,What would be a surprising consequence if EVERYONE SHRANK TO 12 INCHES TALL?,shrank,more economical,setal08_6.0-aab32e,1.0,setal08227,2.0
11106,consequences,setal08,What would be a surprising consequence if PEOPLE NEEDED NO SLEEP?,no sleep,higher birth rate,setal08_3.0-dff40a,1.7,setal08232,4.0
10897,instances,setal08,What is a surprising thing that makes a NOISE?,noise,bird wing flapping,setal08_5.0-387dc8,2.0,setal08228,13.0
3921,instances,setal08,What is a surprising thing that makes a NOISE?,noise,grocery basket,setal08_5.0-bd1ca2,1.7,setal0885,19.0
2386,uses,dod20,What is a surprising use for a ROPE?,rope,starting a fire,dod20_rope-1ddb77,2.5,dod2031,0
2129,uses,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,iv bag holder/hanger,hmsl_paperclip-49b80d,4.0,hmslwl41F5Rd,2.0
1476,uses,bs12,What is a surprising use for a BRICK?,brick,cooking surface when camping,bs12_brick-06f7c9,2.2,bs12107,
9586,uses,setal08,What is a surprising use for a KNIFE?,knife,to pick a lock,setal08_4.0-3444f2,2.0,setal08202,5.0
10836,instances,setal08,What is a surprising thing that is ROUND?,round,ring,setal08_2.0-ffcddf,1.0,setal08228,2.0
188,uses,bs12,What is a surprising use for a BRICK?,brick,meat pounder,bs12_brick-9456ff,2.2,bs1215,
7695,instances,setal08,What is a surprising thing that is ROUND?,round,chairs,setal08_2.0-0f7709,1.0,setal08161,1.0
1270,uses,snb17,What is a surprising use for a ROPE?,rope,curtain tie,snb17_rope-347521,2.0,snb1712,
1582,uses,setal08,What is a surprising use for a BRICK?,brick,use as a hat,setal08_1.0-4447bb,3.3,setal0836,9.0
7374,instances,setal08,What is a surprising thing that makes a NOISE?,noise,chair,setal08_5.0-c1f591,1.0,setal08154,7.0
8003,instances,setal08,What is a surprising thing that is ROUND?,round,camera lens,setal08_2.0-71ddb9,2.0,setal08168,10.0
919,uses,hass17,What is a surprising use for a BRICK?,brick,to make a fort,hass17_brick-eb2ada,2.0,hass1749, 5
1379,uses,snb17,What is a surprising use for a ROPE?,rope,to whip someone with it,snb17_rope-64acaf,1.3,snb1722,
634,uses,hass17,What is a surprising use for a BRICK?,brick,weapon,hass17_brick-c13360,1.3,hass1752, 1
996,uses,betal18,What is a surprising use for a BOX?,box,umbrella,betal18_box-b9f084,1.3,betal182108,
1108,uses,bs12,What is a surprising use for a BRICK?,brick,Art,bs12_brick-c62328,1.4,bs1281,
2811,uses,betal18,What is a surprising use for a ROPE?,rope,booby trap,betal18_rope-02dbfd,1.9,betal182176,
5121,consequences,setal08,What would be a surprising consequence if EVERYONE SHRANK TO 12 INCHES TALL?,shrank,we could live inside trees,setal08_6.0-33f958,1.3,setal08107,3.0
2210,uses,dod20,What is a surprising use for a SHOE?,shoe,hide something in it,dod20_shoe-0d879a,3.2,dod2027,2
3217,uses,snbmo09,What is a surprising use for a KNIFE?,knife,bind a bunch together and hang it on the wall to make a shelf,snbmo09_2_knife-cf7320,3.0,snbmo09157,4
11390,uses,setal08,What is a surprising use for a KNIFE?,knife,sawing,setal08_4.0-508ebe,1.3,setal08239,10.0
3064,uses,hmsl,What is a surprising use for a BRICK?,brick,DECORATION AS PART OF CHIMINEY,hmsl_brick-198597,2.3,hmslaKRPi4oZ,4.0
771,instances,setal08,What is a surprising thing that makes a NOISE?,noise,hair appliances,setal08_5.0-0f500a,1.3,setal0818,19.0
3294,uses,dod20,What is a surprising use for a BOOK?,book,fuel for a fire,dod20_book-b79e49,2.5,dod2080,5
3411,uses,snbmo09,What is a surprising use for a BOX?,box,you can rest your feet on it when sitting down,snbmo09_3_box-d69266,1.8,snbmo09167,5
1086,uses,snb17,What is a surprising use for a BOX?,box,seatbelt,snb17_box-8cc6bd,1.7,snb17138,
3353,uses,setal08,What is a surprising use for a BRICK?,brick,use to stabilize a chair or or table,setal08_1.0-b36360,1.7,setal0876,5.0
3448,consequences,setal08,What would be a surprising consequence if EVERYONE SHRANK TO 12 INCHES TALL?,shrank,food intake would be less,setal08_6.0-2b09d0,1.0,setal0877,10.0
3368,uses,hmsl,What is a surprising use for a BRICK?,brick,paper weight,hmsl_brick-951df4,1.5,hmsldCKR8659,3.0
442,uses,bs12,What is a surprising use for a BRICK?,brick,you can use it as a hot plate,bs12_brick-e1867f,2.6,bs1230,
5059,consequences,setal08,What would be a surprising consequence if PEOPLE NEEDED NO SLEEP?,no sleep,people would end up shrinking,setal08_3.0-8abcb8,2.0,setal08106,3.0
1130,uses,snbmo09,What is a surprising use for a KNIFE?,knife,open a can,snbmo09_2_knife-8bf18a,1.0,snbmo0955,7
8582,instances,setal08,What is a surprising thing that is ROUND?,round,oranges,setal08_2.0-02cbcc,1.0,setal08182,3.0
3463,uses,snbmo09,What is a surprising use for a KNIFE?,knife,"put the knife in a big fish bowl, the water will reflect the metal of the knife and give the eyes something interesting to see",snbmo09_2_knife-dc87b0,3.0,snbmo09170,5
1559,uses,betal18,What is a surprising use for a BOX?,box,table,betal18_box-aa1c99,1.0,betal182187,
6580,uses,setal08,What is a surprising use for a KNIFE?,knife,shaving,setal08_4.0-1ee401,1.3,setal08141,4.0
4022,consequences,setal08,What would be a surprising consequence if PEOPLE NEEDED NO SLEEP?,no sleep,restless,setal08_3.0-5a7cde,1.3,setal0887,3.0
3801,uses,dod20,What is a surprising use for a BOTTLE?,bottle,holder for pens/paintbrushes,dod20_bottle-dc0034,2.7,dod2054,5
5231,uses,dod20,What is a surprising use for a BOTTLE?,bottle,urine holder,dod20_bottle-3209a7,2.8,dod2086,2
7139,uses,setal08,What is a surprising use for a KNIFE?,knife,use as a pointer stick,setal08_4.0-9d83b8,1.7,setal08150,10.0
2390,uses,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,poke tings,hmsl_paperclip-fb0318,2.0,hmslm77nfH6L,3.0
2532,uses,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,to open doors if locked a key out ,hmsl_paperclip-68bbdb,2.0,hmslb3AN0bjD,8.0
4485,uses,dod20,What is a surprising use for PANTS?,pants,cut into small pieces for decoration or use for other purposes,dod20_pants-163512,2.8,dod2069,4
1605,uses,betal18,What is a surprising use for a ROPE?,rope,keychain,betal18_rope-6245b4,1.9,betal182001,
2396,uses,snbmo09,What is a surprising use for a KNIFE?,knife,bottle opener,snbmo09_2_knife-e8d515,1.7,snbmo09116,10
272,uses,hass17,What is a surprising use for a BOTTLE?,bottle,as a musical instrument,hass17_bottle-2fb9b2,3.0,hass1716, 4
2523,uses,betal18,What is a surprising use for a ROPE?,rope,hair accessory,betal18_rope-a477cf,1.0,betal182126,
3029,uses,dod20,What is a surprising use for a ROPE?,rope,wrap up trash,dod20_rope-2ef86d,2.2,dod2041,1
5264,uses,dod20,What is a surprising use for a FORK?,fork,shredding soft material,dod20_fork-2aa174,2.5,dod2087,5
1371,instances,setal08,What is a surprising thing that makes a NOISE?,noise,broom stick,setal08_5.0-a0066d,1.7,setal0831,6.0
4059,uses,dod20,What is a surprising use for a BRICK?,brick,hold up window,dod20_brick-fdf0e9,2.7,dod2058,0
2529,uses,dod20,What is a surprising use for a TIRE?,tire,tire planter,dod20_tire-4db4d9,3.5,dod2033,2
1383,consequences,setal08,What would be a surprising consequence if EVERYONE SHRANK TO 12 INCHES TALL?,shrank,humans will not be at the top of the food chain,setal08_6.0-c985d4,1.7,setal0831,7.0
1941,uses,dod20,What is a surprising use for a SHOVEL?,shovel,build,dod20_shovel-04870e,1.8,dod2022,0
1249,instances,setal08,What is a surprising thing that makes a NOISE?,noise,toy cycle tires squealing like a car,setal08_5.0-ad27b7,1.7,setal0828,5.0
935,uses,betal18,What is a surprising use for a BOX?,box,Wire organizer,betal18_box-c8649b,1.9,betal182101,
305,uses,hass17,What is a surprising use for a BOTTLE?,bottle,as a musical instrument,hass17_bottle-90abe4,3.7,hass1741, 4
422,uses,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,making jewelry,hmsl_paperclip-1a9c9f,2.2,hmsldmIgzB0X,6.0
2141,uses,betal18,What is a surprising use for a ROPE?,rope,keep your car together,betal18_rope-7bb55e,1.6,betal182072,
770,instances,setal08,What is a surprising thing that makes a NOISE?,noise,laptops,setal08_5.0-713efa,2.0,setal0818,18.0
2781,uses,betal18,What is a surprising use for a ROPE?,rope,learning knots,betal18_rope-044e4a,1.3,betal182171,
8151,consequences,setal08,What would be a surprising consequence if EVERYONE SHRANK TO 12 INCHES TALL?,shrank,couldn't hit the elevator button,setal08_6.0-31785f,1.3,setal08170,10.0
4303,uses,dod20,What is a surprising use for a SHOE?,shoe,throwing utensil,dod20_shoe-e261c5,2.5,dod2063,2
852,uses,snb17,What is a surprising use for a BOX?,box,floor mat,snb17_box-e2ebcc,1.7,snb17110,
2100,uses,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,hold plastic bags together,hmsl_paperclip-1ef20e,1.3,hmslFE7ZtheE,3.0
1335,uses,dod20,What is a surprising use for a FORK?,fork,musical instrument,dod20_fork-05be84,3.5,dod2070,0
755,uses,snbmo09,What is a surprising use for a KNIFE?,knife,cut hair,snbmo09_2_knife-b44387,1.0,snbmo0939,6
11071,consequences,setal08,What would be a surprising consequence if EVERYONE SHRANK TO 12 INCHES TALL?,shrank,small beds,setal08_6.0-9f4865,1.0,setal08231,9.0
728,uses,hass17,What is a surprising use for a BRICK?,brick,Roads,hass17_brick-50d867,1.0,hass1760, 2
3383,instances,setal08,What is a surprising thing that makes a NOISE?,noise,typing on keyboard,setal08_5.0-53e26c,1.0,setal0876,9.0
608,uses,hass17,What is a surprising use for a BRICK?,brick,building,hass17_brick-ac2ca6,1.0,hass1736, 1
7517,instances,setal08,What is a surprising thing that is ROUND?,round,breasts,setal08_2.0-c92a6e,1.3,setal08157,4.0
705,uses,bs12,What is a surprising use for a BRICK?,brick,Oven,bs12_brick-813855,1.4,bs1251,
40,uses,betal18,What is a surprising use for a BOX?,box,Pads,betal18_box-15baa7,2.1,betal182003,
367,uses,bs12,What is a surprising use for a BRICK?,brick,used to build a chair,bs12_brick-46d543,1.0,bs1225,
5789,consequences,setal08,What would be a surprising consequence if PEOPLE NEEDED NO SLEEP?,no sleep,more drunks and /or parties,setal08_3.0-cd4f84,1.3,setal08123,4.0
1269,uses,dod20,What is a surprising use for a TABLE?,table,barricade,dod20_table-fbde6d,3.8,dod2053,4
5440,uses,dod20,What is a surprising use for a SHOVEL?,shovel,tiki torch,dod20_shovel-ed4a3e,3.5,dod2091,2
2653,uses,betal18,What is a surprising use for a ROPE?,rope,a lasso,betal18_rope-006a08,1.0,betal182154,
2068,uses,dod20,What is a surprising use for a ROPE?,rope,for a boxing or wrestling ring,dod20_rope-fc62a5,2.8,dod2024,2
2242,uses,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,make sure you are organized,hmsl_paperclip-188b31,1.7,hmslN311258W,5.0
4963,uses,dod20,What is a surprising use for a BOOK?,book,backpack armor at school shooting,dod20_book-54aa38,3.5,dod2081,4
6015,consequences,setal08,What would be a surprising consequence if EVERYONE SHRANK TO 12 INCHES TALL?,shrank,less homework,setal08_6.0-6f4e11,1.0,setal08126,16.0
5273,uses,setal08,What is a surprising use for a KNIFE?,knife,open doors,setal08_4.0-cb5610,2.0,setal08112,5.0
2826,uses,snbmo09,What is a surprising use for a BRICK?,brick,door stop,snbmo09_1_brick-f0917a,1.0,snbmo09139,5
2577,uses,dod20,What is a surprising use for PANTS?,pants,sail,dod20_pants-be25fb,4.5,dod2034,2
712,uses,snbmo09,What is a surprising use for a BOX?,box,use it as a blanket (open it all up),snbmo09_3_box-d5b746,1.7,snbmo0936,12
9890,consequences,setal08,What would be a surprising consequence if PEOPLE NEEDED NO SLEEP?,no sleep,more people driving,setal08_3.0-dcecbb,1.3,setal08207,4.0
98,uses,betal18,What is a surprising use for a BOX?,box,House,betal18_box-8434af,1.0,betal182010,
1543,uses,hmsl,What is a surprising use for a BRICK?,brick,to extend ones reach,hmsl_brick-88a415,2.8,hmsllw50p93r,4.0
1336,uses,bs12,What is a surprising use for a BRICK?,brick,a foot stool,bs12_brick-1bfffe,1.8,bs1297,
683,uses,hass17,What is a surprising use for a BRICK?,brick,to hold something in place,hass17_brick-c13e08,1.0,hass1726, 2
1289,uses,betal18,What is a surprising use for a BOX?,box,cabinet,betal18_box-5b26f9,1.3,betal182152,
166,uses,dod20,What is a surprising use for a FORK?,fork,weapon,dod20_fork-6c60b6,2.7,dod2020,2
1543,uses,snb17,What is a surprising use for a ROPE?,rope,Tie a lot of bulls together in order to pull a mobile home,snb17_rope-97404b,2.7,snb1740,
6473,uses,setal08,What is a surprising use for a KNIFE?,knife,scrape something off,setal08_4.0-737abb,1.0,setal08138,3.0
6474,uses,setal08,What is a surprising use for a KNIFE?,knife,draw a straight line,setal08_4.0-0aae9f,2.0,setal08138,4.0
2296,instances,setal08,What is a surprising thing that makes a NOISE?,noise,toaster,setal08_5.0-602a96,1.3,setal0852,11.0
5909,uses,setal08,What is a surprising use for a BRICK?,brick,build,setal08_1.0-9d9b26,1.0,setal08126,2.0
3853,uses,dod20,What is a surprising use for a ROPE?,rope,lock on door,dod20_rope-88c688,3.0,dod2054,9
4064,uses,snbmo09,What is a surprising use for a BOX?,box,backpacks,snbmo09_3_box-36b4bc,2.2,snbmo09200,15
1667,uses,betal18,What is a surprising use for a ROPE?,rope,used as material in art,betal18_rope-c72880,1.9,betal182007,
5021,consequences,setal08,What would be a surprising consequence if PEOPLE NEEDED NO SLEEP?,no sleep,people would eat more,setal08_3.0-7fecde,1.7,setal08105,2.0
1223,uses,snbmo09,What is a surprising use for a KNIFE?,knife,car (add wheels),snbmo09_2_knife-f39106,2.5,snbmo0959,5
856,uses,dod20,What is a surprising use for a BOOK?,book,table,dod20_book-3bcea5,3.5,dod2056,5
2323,uses,dod20,What is a surprising use for PANTS?,pants,take them off,dod20_pants-7fa37f,1.3,dod2030,1
1979,uses,dod20,What is a surprising use for a FORK?,fork,cut tiny holes in different surfaces,dod20_fork-e957d1,2.0,dod2023,5
2873,uses,hmsl,What is a surprising use for a BRICK?,brick,Build a fire pit.,hmsl_brick-686053,1.5,hmslQnU42iu0,6.0
6260,uses,setal08,What is a surprising use for a KNIFE?,knife,shovel,setal08_4.0-c55f23,2.0,setal08134,3.0
1913,uses,snbmo09,What is a surprising use for a BRICK?,brick,hammer,snbmo09_1_brick-a1b547,1.8,snbmo0995,1
2198,uses,snbmo09,What is a surprising use for a BRICK?,brick,to hold something up like a table to make the balance even,snbmo09_1_brick-184223,1.3,snbmo09108,6
3127,uses,dod20,What is a surprising use for a BRICK?,brick,hold down tarps,dod20_brick-dd2f6d,2.0,dod2043,8
1615,uses,dod20,What is a surprising use for a BOTTLE?,bottle,wind chime,dod20_bottle-a1033e,4.0,dod2017,2
16,uses,bs12,What is a surprising use for a BRICK?,brick,using a as a writing surface,bs12_brick-e0c5f6,1.8,bs122,
437,uses,bs12,What is a surprising use for a BRICK?,brick,use the as a foot stool if the ground is muddy?,bs12_brick-eee793,1.4,bs1229,
2592,uses,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,untangling hair,hmsl_paperclip-704ad8,2.7,hmsl6hf8viCt,9.0
299,uses,hass17,What is a surprising use for a BOTTLE?,bottle,to put flowers in,hass17_bottle-6b8fed,2.0,hass1737, 4
170,consequences,setal08,What would be a surprising consequence if PEOPLE NEEDED NO SLEEP?,no sleep,hotels would lose money,setal08_3.0-313621,1.7,setal085,4.0
3917,uses,dod20,What is a surprising use for a SHOVEL?,shovel,decor,dod20_shovel-076a0f,2.8,dod2067,2
3207,uses,hmsl,What is a surprising use for a BRICK?,brick,hold the window open,hmsl_brick-b5f82e,1.2,hmslIcVu0w8g,5.0
4396,uses,dod20,What is a surprising use for a BOTTLE?,bottle,to use as a small boat,dod20_bottle-6e3704,4.0,dod2066,4
1606,instances,setal08,What is a surprising thing that makes a NOISE?,noise,shooting star,setal08_5.0-2e876e,2.0,setal0836,5.0
11054,uses,setal08,What is a surprising use for a KNIFE?,knife,"prop ""stuff"" up or open",setal08_4.0-77487e,2.3,setal08231,3.0
412,uses,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,make child's necklace (with several),hmsl_paperclip-7af80d,2.3,hmsl6gNs42nt,6.0
11471,consequences,setal08,What would be a surprising consequence if PEOPLE NEEDED NO SLEEP?,no sleep,work hours could last longer,setal08_3.0-9f8f16,1.7,setal08241,3.0
2433,uses,setal08,What is a surprising use for a KNIFE?,knife,preparing food,setal08_4.0-79cc51,1.0,setal0855,5.0
7185,consequences,setal08,What would be a surprising consequence if PEOPLE NEEDED NO SLEEP?,no sleep,credit card companies would be rich,setal08_3.0-44889a,1.7,setal08151,5.0
3953,uses,snbmo09,What is a surprising use for a BRICK?,brick,lay on top of paper to flatten it,snbmo09_1_brick-3b6010,2.2,snbmo09194,9
4363,uses,dod20,What is a surprising use for PANTS?,pants,create a jacket,dod20_pants-255726,2.5,dod2065,1
4073,uses,snbmo09,What is a surprising use for a BOX?,box,ornaments,snbmo09_3_box-10f34c,1.8,snbmo09200,24
5206,uses,setal08,What is a surprising use for a BRICK?,brick,busting windows,setal08_1.0-a01b20,1.3,setal08111,6.0
1496,uses,snb17,What is a surprising use for a ROPE?,rope,handcuffs during sex,snb17_rope-bf2478,1.3,snb1735,
1652,uses,snbmo09,What is a surprising use for a BOX?,box,hide things in it,snbmo09_3_box-cff03d,1.2,snbmo0979,5
823,uses,hmsl,What is a surprising use for a BRICK?,brick,A piece of a paver for a walkway,hmsl_brick-3a6d39,1.0,hmslSsoAOKdh,4.0
2058,instances,setal08,What is a surprising thing that is ROUND?,round,moon,setal08_2.0-8636b7,1.7,setal0847,4.0
2288,uses,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,open it and use as xmas ornament holder,hmsl_paperclip-bdcf0e,2.0,hmsllGi8mYM4,2.0
1038,uses,betal18,What is a surprising use for a BOX?,box,Make a costume,betal18_box-bc47b1,1.3,betal182114,
2075,uses,setal08,What is a surprising use for a KNIFE?,knife,cut rope,setal08_4.0-90dcc2,1.0,setal0847,6.0
2706,uses,betal18,What is a surprising use for a ROPE?,rope,I can make a sled,betal18_rope-10cfbe,2.1,betal182160,
3689,consequences,setal08,What would be a surprising consequence if PEOPLE NEEDED NO SLEEP?,no sleep,work more,setal08_3.0-43b802,1.7,setal0882,6.0
2168,uses,snb17,What is a surprising use for a ROPE?,rope,you can line you comforter with it as a accent piece,snb17_rope-e6b50e,3.0,snb17128,
1396,uses,dod20,What is a surprising use for a TABLE?,table,sit around it,dod20_table-9f46bb,1.3,dod2013,0
2561,instances,setal08,What is a surprising thing that makes a NOISE?,noise,shower,setal08_5.0-6eb219,1.3,setal0858,5.0
1269,uses,snbmo09,What is a surprising use for a BRICK?,brick,smash things with it,snbmo09_1_brick-ae823f,1.5,snbmo0961,11
1459,uses,snb17,What is a surprising use for a ROPE?,rope,keyboard,snb17_rope-a7f13a,1.3,snb1731,
855,uses,snbmo09,What is a surprising use for a KNIFE?,knife,letter opener,snbmo09_2_knife-11020c,1.3,snbmo0943,1
1546,uses,setal08,What is a surprising use for a BRICK?,brick,paperweight,setal08_1.0-fec1da,1.3,setal0835,2.0
3047,uses,dod20,What is a surprising use for a TABLE?,table,a bed,dod20_table-27b8ee,3.7,dod2041,1
3422,uses,snbmo09,What is a surprising use for a BOX?,box,use them to cover your car when raining or real hot outside,snbmo09_3_box-ce891d,2.5,snbmo09168,2
912,uses,bs12,What is a surprising use for a BRICK?,brick,to hide things because they are hollow,bs12_brick-e7bc20,3.0,bs1263,
2276,uses,snb17,What is a surprising use for a ROPE?,rope,wrap it around a vase for decoration,snb17_rope-cfa8a8,2.3,snb17140,
9641,consequences,setal08,What would be a surprising consequence if PEOPLE NEEDED NO SLEEP?,no sleep,I could play Xbox live more,setal08_3.0-a9c7b7,1.7,setal08203,7.0
1447,uses,dod20,What is a surprising use for a BRICK?,brick,doorstopper,dod20_brick-d1f35a,2.3,dod2060,1
986,consequences,setal08,What would be a surprising consequence if PEOPLE NEEDED NO SLEEP?,no sleep,more work,setal08_3.0-1a73eb,1.3,setal0823,4.0
3269,uses,hmsl,What is a surprising use for a BRICK?,brick,lay on a counter top,hmsl_brick-4bc557,1.2,hmslan58NLsL,6.0
230,uses,betal18,What is a surprising use for a BOX?,box,To put it on top of your pets,betal18_box-478f8b,1.3,betal182026,
1871,uses,snb17,What is a surprising use for a ROPE?,rope,take the and put lights around it and hang it up,snb17_rope-f61fff,3.7,snb1792,
5911,uses,setal08,What is a surprising use for a BRICK?,brick,decorate,setal08_1.0-52e528,1.7,setal08126,4.0
1027,instances,setal08,What is a surprising thing that is ROUND?,round,water drain in a sink,setal08_2.0-976f07,1.7,setal0824,16.0
3366,uses,dod20,What is a surprising use for a ROPE?,rope,rug,dod20_rope-2e8909,3.2,dod2061,2
1102,uses,bs12,What is a surprising use for a BRICK?,brick,Building a mailbox.,bs12_brick-8fe1a7,1.0,bs1281,
1995,uses,snb17,What is a surprising use for a ROPE?,rope,Tying books together like a satchel,snb17_rope-d2227c,2.0,snb17105,
1472,uses,setal08,What is a surprising use for a KNIFE?,knife,to cut grass,setal08_4.0-9910a4,2.0,setal0833,3.0
8436,instances,setal08,What is a surprising thing that makes a NOISE?,noise,hair spray,setal08_5.0-a93181,1.3,setal08177,3.0
7728,uses,setal08,What is a surprising use for a BRICK?,brick,weapon,setal08_1.0-78877b,1.7,setal08162,3.0
9312,instances,setal08,What is a surprising thing that makes a NOISE?,noise,dry ice in water,setal08_5.0-4d1ee3,2.3,setal08197,6.0
851,uses,betal18,What is a surprising use for a BOX?,box,balloon,betal18_box-247c44,2.1,betal182089,
572,uses,snbmo09,What is a surprising use for a BOX?,box,make figures on your wall,snbmo09_3_box-b21b95,2.0,snbmo0929,6
4610,uses,setal08,What is a surprising use for a BRICK?,brick,small table for dolls when used by young girls,setal08_1.0-0952ab,2.3,setal0898,7.0
1312,uses,hmsl,What is a surprising use for a BRICK?,brick,paper w,hmsl_brick-c35f06,1.5,hmsl01VqTes5,5.0
1193,uses,dod20,What is a surprising use for a ROPE?,rope,cling on,dod20_rope-f7aa49,2.0,dod2011,0
1540,instances,setal08,What is a surprising thing that makes a NOISE?,noise,pulling up tape,setal08_5.0-1d5cab,1.7,setal0834,11.0
2205,uses,snb17,What is a surprising use for a ROPE?,rope,lock,snb17_rope-f3e95d,1.3,snb17132,
371,uses,dod20,What is a surprising use for a BOTTLE?,bottle,to use as a piece of art,dod20_bottle-47c09b,2.8,dod202,5
10543,instances,setal08,What is a surprising thing that is ROUND?,round,"a rounded room can be better for lectures, it seems to allow a group to be more engaged",setal08_2.0-3ade01,2.3,setal08221,7.0
3730,uses,snbmo09,What is a surprising use for a BRICK?,brick,hit someone on the head,snbmo09_1_brick-22b43b,1.5,snbmo09182,4
2654,uses,betal18,What is a surprising use for a ROPE?,rope,a weapon,betal18_rope-bd96b5,1.3,betal182154,
2465,uses,dod20,What is a surprising use for PANTS?,pants,quilting,dod20_pants-a404a5,2.8,dod2032,6
818,uses,dod20,What is a surprising use for a BOOK?,book,pillow,dod20_book-63e5d0,3.5,dod2069,4
4772,uses,dod20,What is a surprising use for a FORK?,fork,tooth pick,dod20_fork-e013ae,2.5,dod2076,2
11119,uses,setal08,What is a surprising use for a KNIFE?,knife,murdering,setal08_4.0-b0017f,1.0,setal08232,4.0
166,uses,snbmo09,What is a surprising use for a KNIFE?,knife,lock pick,snbmo09_2_knife-608d79,1.5,snbmo0910,2
1206,consequences,setal08,What would be a surprising consequence if EVERYONE SHRANK TO 12 INCHES TALL?,shrank,wouldn't be able to distinguish parent from child,setal08_6.0-51934d,2.7,setal0827,6.0
4762,uses,dod20,What is a surprising use for a BOOK?,book,a sun shade,dod20_book-adecf3,3.3,dod2076,10
650,instances,setal08,What is a surprising thing that makes a NOISE?,noise,my pencil writing on this paper,setal08_5.0-c89fde,1.0,setal0816,2.0
2309,uses,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,paper airplane weight ,hmsl_paperclip-16770d,3.0,hmslwl41F5Rd,11.0
8388,uses,setal08,What is a surprising use for a BRICK?,brick,water fountains,setal08_1.0-3bd47f,1.3,setal08177,6.0
488,uses,bs12,What is a surprising use for a BRICK?,brick,tag,bs12_brick-c1da09,2.2,bs1233,
1719,uses,betal18,What is a surprising use for a ROPE?,rope,confetti,betal18_rope-a39c92,3.3,betal182015,
1032,uses,hmsl,What is a surprising use for a BRICK?,brick,chip off fragments and dissolve them to make dye,hmsl_brick-a8d96a,4.3,hmslLPQ9qCo5,3.0
5276,uses,dod20,What is a surprising use for a ROPE?,rope,use,dod20_rope-d0a134,1.2,dod2087,9
2433,uses,snbmo09,What is a surprising use for a KNIFE?,knife,to stick into someone's yard (lots of knives),snbmo09_2_knife-b07ece,2.0,snbmo09117,2
249,uses,dod20,What is a surprising use for a SHOE?,shoe,hang in a tree as a decoration,dod20_shoe-4df665,3.3,dod201,5
1083,uses,snb17,What is a surprising use for a BOX?,box,food,snb17_box-c3828d,1.7,snb17138,
2315,uses,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,pare one's fingernails,hmsl_paperclip-6e1426,2.0,hmslLr6WcnQu,3.0
742,uses,betal18,What is a surprising use for a BOX?,box,suitcase,betal18_box-4d64d1,1.3,betal182079,
395,uses,betal18,What is a surprising use for a BOX?,box,Halloween costume,betal18_box-0ae1ca,1.6,betal182045,
348,uses,hass17,What is a surprising use for a BOTTLE?,bottle,decorate,hass17_bottle-b16b93,2.3,hass1724, 5
4571,uses,dod20,What is a surprising use for a TABLE?,table,spread out maps or other large papers,dod20_table-eb5045,1.8,dod2071,8
1928,uses,betal18,What is a surprising use for a ROPE?,rope,horse lead,betal18_rope-cf53e1,1.0,betal182045,
1807,uses,betal18,What is a surprising use for a ROPE?,rope,can be used as weapon when force is applied,betal18_rope-9a5503,1.0,betal182027,
5695,instances,setal08,What is a surprising thing that makes a NOISE?,noise,trashcans,setal08_5.0-c94883,1.7,setal08120,3.0
3143,uses,snbmo09,What is a surprising use for a BOX?,box,hat,snbmo09_3_box-95c432,1.5,snbmo09155,1
2994,uses,hmsl,What is a surprising use for a BRICK?,brick,building tool,hmsl_brick-6b5f22,1.2,hmslP07U97OU,1.0
4992,consequences,setal08,What would be a surprising consequence if PEOPLE NEEDED NO SLEEP?,no sleep,aliens would come & take over our bodies,setal08_3.0-09d549,1.0,setal08104,3.0
